trilha,conteudo,objetivo,resultado
Projetos Práticos,08 - Databricks Data Modeling,Modelar dados seguindo o padrão Bronze-Silver-Gold no Databricks com Delta Lake. Data Lakehouse Delta Lake SCD Type 2 Dimensional modeling Incremental processing.,Data Warehouse completo no Databricks com modelagem dimensional e processamento incremental. Capacidade de modelar dados em ambientes cloud modernos.
Projetos Práticos,09 - Databricks AI Project,Construir agentes de IA para análise de dados usando LangChain Vector Search e LLMs. RAG (Retrieval Augmented Generation) Vector Search LLMs Text-to-SQL MLflow.,Agente de IA funcional para análise de dados. Capacidade de integrar IA em pipelines e criar soluções inteligentes de dados.
Python Avançado,Aula 01 - Configuração do Ambiente e Primeiros Passos,Configurar ambiente de desenvolvimento Python para engenharia de dados. Instalação Python Git VSCode configuração inicial primeiros passos em Python sintaxe básica.,Ambiente Python configurado e funcionando. Primeiros scripts Python executados com sucesso.
Python Avançado,Aula 02 - Tratamento de Erros Type Checking e Conversão de Tipos,Dominar tratamento de erros e verificação de tipos em Python. Try-except tratamento de exceções type checking conversão de tipos validação de dados.,Capacidade de escrever código robusto com tratamento de erros adequado. Validação e conversão de tipos implementadas.
Python Avançado,Aula 03 - Controle de Fluxo Listas e Dicionários,Entender estruturas de controle e estruturas de dados fundamentais. If-else loops for while listas dicionários manipulação de dados básica.,Capacidade de usar estruturas de controle e dados fundamentais. Scripts Python com lógica condicional e manipulação de dados.
Python Avançado,Aula 04 - Tipos Complexos Type Hints e Comparação de Estruturas,Entender tipos complexos e comparação entre diferentes estruturas de dados. Type Hints tipos complexos comparação Dicionários vs DataFrames vs Tabelas vs Excel quando usar cada estrutura.,Capacidade de escolher a estrutura de dados adequada para cada situação. Código com type hints e entendimento de diferentes estruturas de dados.
Python Avançado,Aula 05 - Projeto Prático: Leitura e Escrita de Arquivos,Processar grandes volumes de dados com eficiência. Leitura escrita de arquivos processamento de 1 bilhão de linhas otimização de performance streaming de dados.,Capacidade de processar grandes volumes de dados eficientemente. Projeto prático funcionando com grandes datasets.
Python Avançado,Aula 06 - Exercícios de Revisão e Consolidação,Consolidar conhecimentos das aulas anteriores através de exercícios práticos. Revisão de conceitos exercícios práticos consolidação de aprendizados.,Base sólida em Python aplicado a dados consolidada. Capacidade de escrever scripts Python funcionais para manipulação básica de dados.
Python Avançado,Aula 07 - Funções em Python Parte 1: Definição Parâmetros e Retornos,Criar e usar funções em Python. Definição de funções parâmetros posicionais e nomeados retornos múltiplos valores default args *args **kwargs.,Capacidade de criar funções reutilizáveis e bem estruturadas. Código modular com funções eficientes.
Python Avançado,Aula 08 - Funções em Python Parte 2: Lambda e Funções de Ordem Superior,Usar funções lambda e funções de ordem superior. Funções lambda map filter reduce funções de ordem superior programação funcional.,Capacidade de usar programação funcional em Python. Código mais conciso e expressivo com lambdas e funções de ordem superior.
Python Avançado,Aula 09 - Funções em Python Parte 3: Decoradores Closures e Estruturas Avançadas,Dominar decoradores closures e estruturas de dados avançadas. Decoradores closures sets tuples namedtuples estruturas de dados avançadas.,Capacidade de criar decoradores e usar closures. Código Python avançado com decoradores e estruturas de dados complexas.
Python Avançado,Aula 10 - Revisão de Funções e Exercícios Práticos,Consolidar conhecimentos sobre funções através de exercícios. Revisão de funções exercícios práticos consolidação de aprendizados.,Domínio completo de funções em Python. Código modular reutilizável e bem estruturado.
Python Avançado,Aula 11 - Introdução à Programação Orientada a Objetos,Entender conceitos fundamentais de POO. Classes objetos instâncias atributos métodos conceitos de POO.,Capacidade de entender e aplicar conceitos básicos de POO. Primeiras classes criadas em Python.
Python Avançado,Aula 12 - Classes em Python Parte 1: Criação Atributos e Métodos,Criar classes com atributos e métodos. Criação de classes atributos de instância e de classe métodos construtores __init__.,Capacidade de criar classes funcionais com atributos e métodos. Classes Python básicas implementadas.
Python Avançado,Aula 13 - Classes em Python Parte 2: Encapsulamento,Criar classes com encapsulamento adequado. Encapsulamento private protected public métodos privados e públicos.,Capacidade de criar classes com encapsulamento adequado. Classes com controle de acesso implementado.
Python Avançado,Aula 14 - Classes em Python Parte 3: Herança e Composição,Usar herança e composição em Python. Herança simples e múltipla composição super() método resolution order (MRO).,Capacidade de usar herança e composição em projetos. Hierarquias de classes bem estruturadas.
Python Avançado,Aula 15 - Classes em Python Parte 4: Polimorfismo e Métodos Especiais,Implementar polimorfismo e métodos especiais. Polimorfismo métodos especiais (__str__ __repr__ __len__ etc) operator overloading.,Capacidade de criar classes com comportamento polimórfico. Classes com métodos especiais implementados.
Python Avançado,Aula 16 - Revisão de POO e SQLModel,Consolidar POO e aprender SQLModel (ORM moderno). Revisão de POO SQLModel ORM moderno integração com bancos de dados.,Capacidade de projetar soluções orientadas a objetos para problemas complexos de dados. Uso de POO e SQLModel em projetos reais.
Python Avançado,Aula 17 - SQLAlchemy: Manipulação de SQL em Python,Usar SQLAlchemy para manipular bancos de dados. SQLAlchemy conexões com bancos de dados models mapeamento objeto-relacional queries avançadas.,Capacidade de interagir com bancos de dados usando SQLAlchemy. Models e queries funcionando com SQLAlchemy.
Python Avançado,Aula 18 - Introdução a APIs REST,Entender conceitos de APIs REST e consumir APIs. Conceitos de HTTP REST JSON requests consumo de APIs Pydantic validação de dados implementação de CRUD básico.,Capacidade de consumir APIs e implementar CRUD básico. Integração com APIs externas funcionando.
Python Avançado,Aula 19 - Criando sua Primeira API com FastAPI,Construir API REST com FastAPI. FastAPI framework endpoints rotas documentação automática criação de API.,Primeira API REST criada e funcionando. Capacidade de criar APIs com FastAPI.
Python Avançado,Aula 20 - Projeto Completo CRUD: Backend Frontend e Deploy,Construir aplicação completa de dados com backend frontend e deploy. Backend completo com FastAPI frontend com Streamlit integração com PostgreSQL deploy com Docker aplicação completa.,Aplicação completa de dados pronta para produção. Capacidade de construir aplicações full-stack de dados com deploy.
SQL Analytics,Aula 01 - Visão Geral e Preparação do Ambiente SQL,Preparar ambiente SQL e entender conceitos fundamentais. Instalação PostgreSQL configuração ambiente primeiros passos em SQL.,Ambiente SQL configurado e funcionando. Base conceitual de bancos de dados relacionais.
SQL Analytics,Aula 02 - SQL para Analytics: Primeiras Consultas,Realizar consultas SQL básicas para análise de dados. SELECT WHERE ORDER BY GROUP BY funções agregadas.,Capacidade de escrever consultas SQL básicas e extrair insights de dados.
SQL Analytics,Aula 03 - SQL para Analytics: Join and Having,Realizar joins entre tabelas e filtrar grupos agregados. INNER JOIN LEFT JOIN RIGHT JOIN FULL JOIN HAVING.,Capacidade de combinar dados de múltiplas tabelas e filtrar resultados agregados.
SQL Analytics,Aula 04 - Windows Function,Usar funções de janela para análises avançadas. ROW_NUMBER RANK DENSE_RANK LAG LEAD SUM OVER PARTITION BY.,Capacidade de realizar análises complexas com funções de janela. Análises comparativas e temporais.
SQL Analytics,Aula 05 - Projeto de Análise de Dados,Projeto prático aplicando todos os conceitos aprendidos. Análise completa de dataset real usando SQL avançado.,Projeto completo de análise de dados. Capacidade de aplicar SQL em casos reais de negócio.
SQL Analytics,Aula 06 - CTE vs Subqueries vs Views vs Temporary Tables vs Materialized Views,Entender quando usar cada estrutura para organizar queries. CTEs Subqueries Views Temporary Tables Materialized Views comparação e casos de uso.,Capacidade de escolher a melhor estrutura para organizar queries complexas. Código SQL mais limpo e eficiente.
SQL Analytics,Aula 07 - Stored Procedures,Criar procedures reutilizáveis no banco de dados. Criação execução e manutenção de stored procedures.,Capacidade de criar lógica reutilizável no banco de dados. Redução de código duplicado e melhor performance.
SQL Analytics,Aula 08 - CTE vs Subqueries vs Views (Aprofundamento),Aprofundar conhecimento em estruturas SQL avançadas. Casos de uso avançados otimização e boas práticas.,Domínio completo de estruturas SQL avançadas. Queries otimizadas e bem estruturadas.
SQL Analytics,Aula 09 - Triggers e Projeto Prático II,Implementar triggers para automação no banco de dados. Criação de triggers projeto prático completo.,Capacidade de automatizar ações no banco de dados. Projeto prático consolidando conhecimentos.
SQL Analytics,Aula 10 - Transação,Entender transações e garantir consistência de dados. ACID isolamento consistência rollback commit.,Capacidade de garantir integridade de dados em operações complexas. Entendimento de transações e isolamento.
SQL Analytics,Aula 11 - Ordem de Consulta,Entender a ordem de execução de queries SQL. FROM WHERE GROUP BY HAVING SELECT ORDER BY otimização.,Capacidade de escrever queries eficientes entendendo ordem de execução. Queries otimizadas.
SQL Analytics,Aula 12 - Database Indexing,Otimizar performance com índices. Criação de índices tipos de índices impacto na performance.,Capacidade de otimizar queries com índices. Bancos de dados com melhor performance.
SQL Analytics,Aula 13 - Database Partition,Particionar tabelas para melhor performance. Partitioning estratégias casos de uso.,Capacidade de particionar tabelas grandes. Bancos de dados escaláveis e performáticos.
SQL Analytics,Aula 14 - Aula 14,Conteúdo a ser definido. (Conteúdo a ser adicionado),Conteúdo a ser definido.
SQL Analytics,Aula 15 - Projeto Prático: dbt-cloud,Implementar projeto prático completo usando dbt-cloud. dbt-cloud interface web projetos dbt transformações de dados deployment CI/CD.,Projeto completo funcionando no dbt-cloud. Capacidade de usar dbt-cloud para projetos profissionais de analytics engineering.
Engenharia de Dados e IA,01 - Data Engineering Infra Linux Docker,Configurar infraestrutura Linux e Docker para projetos de dados. Linux Docker containerização ambiente de desenvolvimento.,Ambiente de desenvolvimento profissional configurado. Base para todos os projetos seguintes.
Engenharia de Dados e IA,02 - Airflow Workflow Orchestration,Orquestrar workflows de dados com Airflow. DAGs operadores sensores XComs deploy.,Capacidade de orquestrar pipelines complexos de dados. Workflows automatizados e monitorados.
Engenharia de Dados e IA,03 - Modern Data Pipelines Airflow dbt,Integrar Airflow com dbt para pipelines modernos. Airflow + dbt Modern Data Stack transformações de dados.,Pipeline completo usando Modern Data Stack. Integração profissional de ferramentas modernas.
Engenharia de Dados e IA,04 - AI Agents for Data Engineering,Construir agentes de IA para engenharia de dados. Frameworks de IA (LangChain CrewAI) Prompt Engineering RAG Memory MCP A2A.,Agentes de IA funcionais para análise e processamento de dados. Capacidade de integrar IA em pipelines de dados.
Engenharia de Dados e IA,05 - Event-Driven Data Architecture AWS,Implementar arquitetura event-driven na AWS. AWS SQS eventos processamento assíncrono arquitetura orientada a eventos.,Pipeline event-driven funcional na AWS. Capacidade de construir arquiteturas reativas e escaláveis.
Engenharia de Dados e IA,06 - Ingestão de Dados,Ingerir dados de múltiplas fontes. Design Sprint técnicas de ingestão estratégias de coleta.,Capacidade de projetar e implementar pipelines de ingestão. Estratégias profissionais de coleta de dados.
Engenharia de Dados e IA,07 - REST API FastAPI Deploy,Construir e fazer deploy de APIs REST com FastAPI. FastAPI autenticação deploy Docker produção.,API REST completa em produção. Capacidade de criar e manter APIs de dados profissionais.
Engenharia de Dados e IA,08 - Real-Time Data Streaming Kafka,Implementar streaming de dados em tempo real com Kafka. Apache Kafka producers consumers topics partitions streaming.,Pipeline de streaming em tempo real funcional. Capacidade de processar dados em tempo real.
Engenharia de Dados e IA,09 - Streamlit Dashboard Realtime,Criar dashboards em tempo real com Streamlit. Streamlit visualização tempo real atualização automática.,Dashboard interativo em tempo real. Capacidade de criar interfaces visuais para dados.
Engenharia de Dados e IA,10 - Data Pipeline Observability,Implementar observabilidade em pipelines de dados. Logging monitoramento métricas alertas rastreabilidade.,Pipeline com observabilidade completa. Capacidade de monitorar e debugar pipelines em produção.
Engenharia de Dados e IA,11 - Infra as Code Terraform,Automatizar infraestrutura com Terraform. Terraform AWS infraestrutura como código automação.,Infraestrutura automatizada e versionada. Capacidade de gerenciar infraestrutura como código.
Engenharia de Dados e IA,12 - DevOps e Kubernetes,Orquestrar containers e implementar DevOps para dados. Kubernetes orquestração de containers CI/CD escalabilidade.,Capacidade de fazer deploy e escalar aplicações de dados no Kubernetes. DevOps completo para pipelines.
Cloud AWS,Aula 01 - Introdução à AWS e Cloud Computing,Introduzir conceitos básicos de cloud computing e publicar primeira aplicação na AWS. Criação de conta AWS controle de custos (AWS Budgets Cost Explorer) navegação no console configuração de IAM e MFA criação de bucket S3 e site estático configuração de EC2 e deploy de Streamlit.,Conta AWS configurada site estático no S3 e aplicação rodando em EC2. Primeira experiência prática com cloud computing.
Cloud AWS,Aula 02 - S3: Armazenamento de Dados na AWS,Dominar Amazon S3 para armazenamento escalável de dados. Revisão de custos com Cost Explorer e tags conceitos de storage e redundância criação detalhada de buckets S3 (configurações avançadas) recursos avançados (Intelligent-Tiering Server Access Logging Event Notifications) uso do S3 via Python (boto3) casos de uso em engenharia de dados (Data Lake ETL backup).,Capacidade de gerenciar dados no S3 programaticamente e aplicar em pipelines de dados. Entendimento completo do S3 para engenharia de dados.
Cloud AWS,Aula 03 - EC2: Computação Escalável na AWS,Dominar EC2 para executar aplicações e processar dados na cloud. Revisão do S3 e integração com EC2 conceitos fundamentais (instâncias AMIs volumes EBS Security Groups) configuração e lançamento de instâncias acesso via SSH famílias de instâncias (General Purpose Compute Optimized Memory Optimized Accelerated Computing) tipos de preço (On-Demand Savings Plans Spot Dedicadas) instalação do Airflow em EC2.,Capacidade de criar configurar e gerenciar instâncias EC2 para diferentes workloads. Instância EC2 com Airflow funcionando.
Cloud AWS,Aula 04 - IAM: Gerenciamento de Segurança,Implementar segurança e controle de acesso na AWS. Proteção da conta AWS e usuário root configuração de MFA criação de usuários administrativos (AdministratorAccess vs PowerUserAccess) criação de grupos IAM (Engenheiro de Dados Cientista de Dados Lambda Executors) acesso programático IAM Roles para EC2 com acesso ao S3 políticas personalizadas.,Conta AWS segura com usuários grupos e roles configurados corretamente. Sistema de segurança implementado seguindo boas práticas.
Cloud AWS,Aula 05 - VPC: Redes Virtuais na AWS,Criar redes isoladas e seguras na AWS. Conceitos de VPC (Virtual Private Cloud) sub-redes públicas e privadas Internet Gateway (IGW) e NAT Gateway VPC Endpoints (Gateway e Interface) configuração completa de VPC do zero tabelas de roteamento e Security Groups projeto prático: arquitetura segura com EC2 privada acessando S3 via VPC Endpoint.,Capacidade de configurar VPCs completas com sub-redes públicas/privadas e endpoints. Arquitetura de rede segura funcionando.
Cloud AWS,Aula 06 - VPC: Projeto Prático,Implementar arquitetura de rede segura para processamento de dados sensíveis. Desafio de negócio: proteção de dados sensíveis em ambientes regulatórios arquitetura completa (VPC sub-redes públicas/privadas Bastion Host VPC Endpoint para S3) estimativa de custos tutorial passo a passo configuração de acesso SSH via Bastion Host teste de acesso ao S3 via VPC Endpoint.,Arquitetura completa funcionando com segurança e conformidade. Solução pronta para ambientes regulatórios.
Cloud AWS,Aula 07 - RDS: Bancos de Dados Gerenciados,Configurar e gerenciar bancos de dados relacionais na AWS. Conceitos do Amazon RDS funcionalidades (Multi-AZ Read Replicas Backup automático) configuração passo a passo de instância RDS segurança (Encryption Security Groups IAM Authentication) criação de VPC do zero para RDS projeto: instalação do WordPress em EC2 usando RDS gerenciamento de backups e restauração.,Banco de dados RDS funcional e integrado com aplicações. Aplicação WordPress funcionando com RDS.
Cloud AWS,Aula 08 - Integração EC2 e RDS,Integrar aplicações em EC2 com bancos de dados RDS. Projeto completo: API em Docker rodando em EC2 conectada ao RDS configuração de instância EC2 com Docker deploy de aplicação containerizada configuração de Security Groups para EC2 e RDS integração segura entre aplicação e banco de dados vantagens da arquitetura EC2 + RDS para engenharia de dados.,Aplicação completa funcionando com backend frontend e banco de dados. Arquitetura EC2 + RDS em produção.
Cloud AWS,Aula 09 - AWS Lambda e Eventos,Entender e usar AWS Lambda para automação serverless. Introdução ao AWS Lambda e arquitetura serverless diferenças entre Lambda e EC2 casos de uso (processamento de arquivos ETL em tempo real APIs serverless) eventos na AWS (S3 DynamoDB Streams API Gateway CloudWatch SQS) configuração de função Lambda exemplo prático: primeiro Lambda de teste.,Funções Lambda criadas e acionadas por eventos. Primeira automação serverless funcionando.
Cloud AWS,Aula 10 - Gestão de Custos na AWS,Controlar e otimizar custos na AWS. Política de tags focada em governança de custos (5 tags obrigatórias) organização de recursos com tags criação de grupos de recursos baseados em tags AWS Cost Explorer com tags configuração de AWS Budgets com base em tags AWS Cost Anomaly Detection checklist para evitar surpresas no final do mês.,Sistema completo de gestão de custos implementado. Controle financeiro total sobre recursos AWS.
Cloud AWS,Aula 11 - Projetos Práticos com AWS Lambda,Implementar automações com Lambda e eventos temporais. Timer de 10 em 10 minutos com CloudWatch Events/EventBridge funções Lambda para horários específicos (9h 12h 18h) Amazon EventBridge (CloudWatch Scheduler) - conceitos e configuração Lambda para realizar requests HTTP (urllib3 e requests) integração com APIs externas (exemplo: cotação Bitcoin) configuração de cron jobs com EventBridge.,Lambdas funcionando com agendamentos e integrações HTTP. Automações temporais e integrações externas implementadas.
Cloud AWS,Aula 12 - AWS CLI,Gerenciar AWS via linha de comando. Introdução ao AWS CLI e AWS CloudShell instalação do AWS CLI no Windows configuração de perfis múltiplos (desenvolvimento produção) comandos básicos do AWS CLI comandos do S3 (mb rb cp mv ls rm sync website presign) comandos do RDS (create-db-instance describe-db-instances delete-db-instance) automação de tarefas com scripts Bash.,Automação de tarefas AWS via CLI e scripts. Scripts funcionando para gerenciar recursos AWS.
Cloud AWS,Aula 13 - Amazon SQS,Implementar filas de mensagens para desacoplamento de sistemas. Introdução ao Amazon SQS (Simple Queue Service) tipos de filas (Standard vs FIFO) criação de filas SQS (console e CLI) configurações detalhadas (Visibility Timeout Message Retention Delivery Delay) envio e recebimento de mensagens via CLI integração com código Python (boto3) controle de concorrência e Dead Letter Queues boas práticas para engenharia de dados.,Sistema de filas funcionando para processamento assíncrono. Pipeline desacoplado com SQS implementado.
Cloud AWS,Aula 14 - Amazon SNS,Implementar sistema de notificações Pub/Sub. Introdução ao Amazon SNS (Simple Notification Service) diferenças entre SNS e SQS modelo Pub/Sub (Publicação/Assinatura) criação de tópicos SNS assinantes (Lambda SQS Email SMS HTTP/S) projeto: integração SNS com múltiplas funções Lambda (Python e JavaScript) publicação de mensagens (boto3 CLI Console) ETL com notificação SNS.,Sistema de notificações funcionando com múltiplos assinantes. Arquitetura Pub/Sub implementada.
Cloud AWS,Aula 15 - Projeto: Página de Sorteio com AWS,Construir aplicação completa serverless na AWS. Construção de página web com AWS Amplify função Lambda para gerar números aleatórios integração com API Gateway persistência de dados no DynamoDB frontend HTML completo com JavaScript sistema completo: Frontend → API Gateway → Lambda → DynamoDB.,Aplicação web completa funcionando com backend serverless. Projeto serverless completo em produção.
